model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
53,1.0285555660225791,0.45575278159851473,1.0579265523960282,0.20771059793478347,0.7415311765676568,0.352132077768595,0.38276633410204863,0.8860317397959058,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'friedman_mse'}
54,1.4007254228262596,1.430472290874443,1.9620317101518037,2.0462509749595768,1.0804501429042905,1.1190031630578512,-0.14472221377016958,-0.12275283917047197,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'absolute_error'}
55,1.4007254228262596,1.430472290874443,1.9620317101518037,2.0462509749595768,1.0804501429042905,1.1190031630578512,-0.14472221377016958,-0.12275283917047197,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'poisson'}
56,1.2793973733225634,1.310439755064609,1.636857638864675,1.717252351653792,0.9876093092409242,1.0288516665289258,0.04499642371080215,0.05776467452651901,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.2, 'splitter': 'best', 'criterion': 'squared_error'}
57,1.0221432878568835,0.46386329802765974,1.0447769009108796,0.2151691592570975,0.7496433224422442,0.35959063909090905,0.39043832945283774,0.8819393185810933,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.2, 'splitter': 'best', 'criterion': 'friedman_mse'}
58,1.4007254228262596,1.430472290874443,1.9620317101518037,2.0462509749595768,1.0804501429042905,1.1190031630578512,-0.14472221377016958,-0.12275283917047197,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.2, 'splitter': 'best', 'criterion': 'absolute_error'}
59,1.4007254228262596,1.430472290874443,1.9620317101518037,2.0462509749595768,1.0804501429042905,1.1190031630578512,-0.14472221377016958,-0.12275283917047197,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.2, 'splitter': 'best', 'criterion': 'poisson'}
60,1.2793973733225634,1.310439755064609,1.636857638864675,1.717252351653792,0.9876093092409242,1.0288516665289258,0.04499642371080215,0.05776467452651901,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.2, 'splitter': 'random', 'criterion': 'squared_error'}
61,1.0340879066117388,0.46386329802765974,1.0693377986006483,0.2151691592570975,0.7468146669966996,0.35959063909090905,0.37610858899546284,0.8819393185810933,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.2, 'splitter': 'random', 'criterion': 'friedman_mse'}
62,1.4007254228262596,1.430472290874443,1.9620317101518037,2.0462509749595768,1.0804501429042905,1.1190031630578512,-0.14472221377016958,-0.12275283917047197,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.2, 'splitter': 'random', 'criterion': 'absolute_error'}
63,1.4007254228262596,1.430472290874443,1.9620317101518037,2.0462509749595768,1.0804501429042905,1.1190031630578512,-0.14472221377016958,-0.12275283917047197,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.2, 'splitter': 'random', 'criterion': 'poisson'}
64,0.9940883336516422,0.6031560614498614,0.9882116151022987,0.3637972344637091,0.7443844379537954,0.4591277769421487,0.42344061930284793,0.80038891471533,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'squared_error'}
65,0.9940883336516422,0.6031560614498614,0.9882116151022987,0.3637972344637091,0.7443844379537954,0.4591277769421487,0.42344061930284793,0.80038891471533,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'friedman_mse'}
66,0.9645590661022208,0.669828335416261,0.9303741919999883,0.44866999892651904,0.7249310557755775,0.47686994008264455,0.45718512132586375,0.753820268720794,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'absolute_error'}
67,0.9705912746171917,0.5997665454234369,0.9420474223630249,0.3597199090091636,0.6965266491749175,0.4608214271900827,0.450374524925263,0.8026260932366027,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'poisson'}
68,1.0142115788401618,0.6031560614498614,1.0286251266534536,0.3637972344637091,0.7569558603960397,0.4591277769421487,0.3998618747954592,0.80038891471533,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'squared_error'}
69,0.9930414822147805,0.6031560614498614,0.9861313853993283,0.3637972344637091,0.7423042082508251,0.4591277769421487,0.4246543026181653,0.80038891471533,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'friedman_mse'}
70,0.9733138256601056,0.6693783569190469,0.9473398032211104,0.448067384711643,0.7216231369636964,0.476072812644628,0.44728675325437917,0.754150915757231,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'absolute_error'}
71,0.9474948612694434,0.5997665454234369,0.8977465121320017,0.3597199090091636,0.6817527943894389,0.4608214271900827,0.47622132228806746,0.8026260932366027,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'poisson'}
72,1.15288785256019,1.1640474235252511,1.3291504005808465,1.3550064042157752,0.879234000330033,0.8984009047107437,0.22452426170589557,0.2565245876266534,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'squared_error'}
73,1.0134434099323464,0.6031560614498614,1.027067545135302,0.3637972344637091,0.7553982788778877,0.4591277769421487,0.4007706257368231,0.80038891471533,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'friedman_mse'}
74,1.201636263663761,1.236366211996344,1.4439297101518038,1.5286014101661884,0.9458901653465347,0.9636252576033059,0.1575577470123527,0.16127513475810118,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'absolute_error'}
75,1.4007254228262596,1.430472290874443,1.9620317101518037,2.0462509749595768,1.0804501429042905,1.1190031630578512,-0.14472221377016958,-0.12275283917047197,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'poisson'}
76,1.15288785256019,1.1640474235252511,1.3291504005808465,1.3550064042157752,0.879234000330033,0.8984009047107437,0.22452426170589557,0.2565245876266534,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.05, 'splitter': 'random', 'criterion': 'squared_error'}
