model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
42,0.8639686006106929,0.3083650213441946,0.746441742841199,0.09508898638860559,0.6628878709393826,0.25938823421516627,0.1540385941059682,0.8985669618807868,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 0.5, 'min_impurity_decrease': 0}
43,0.8724292528175748,0.33085244040261347,0.7611328011718318,0.10946333732036488,0.6548855579101951,0.2737625851469256,0.13738884417083197,0.8832335974042589,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 0.5, 'min_impurity_decrease': 0.1}
44,0.8653791166500514,0.3517267558996157,0.7488810155340233,0.12371171081566784,0.6512802950079465,0.28664537750891533,0.1512741043432092,0.8680346152005844,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 0.5, 'min_impurity_decrease': 0.2}
45,0.9845431655242355,0.30496428108455476,0.9693252447804822,0.09300321273741931,0.7466506081944353,0.2573979614280177,-0.09856094558946138,0.9007918920888364,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0}
46,0.9697071030851172,0.32111885663002976,0.9403318657737301,0.10311732008337761,0.7203095531382804,0.26741656790993834,-0.06570201198693848,0.8900030018616152,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}
47,1.0394185907424445,0.34181437189469005,1.0803910067810092,0.11683706483376148,0.75597898611549,0.2811363126603222,-0.22443459757873185,0.8753679169258657,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}
48,1.0009538110837433,1.0197369505906524,1.00190853192307,1.0398634483999227,0.7657292672423931,0.7627494212744308,-0.1354884133579095,-0.10924001618093837,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0}
49,1.0009538110837433,1.0197369505906524,1.00190853192307,1.0398634483999227,0.7657292672423931,0.7627494212744308,-0.1354884133579095,-0.10924001618093837,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0.1}
50,1.0009538110837433,1.0197369505906524,1.00190853192307,1.0398634483999227,0.7657292672423931,0.7627494212744308,-0.1354884133579095,-0.10924001618093837,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0.2}
51,0.8720038494410078,0.8330461837481922,0.7603907134399359,0.6939659442574267,0.6735133232175489,0.6364246333152056,0.13822987106541829,0.25973473111146483,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 0.1, 'min_impurity_decrease': 0}
52,0.8710147090332424,0.834588905307807,0.7586666233522639,0.6965386408628838,0.6719889329736465,0.6369391674784597,0.14018382619780867,0.2569903919112968,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}
53,0.8720038494410078,0.8329627144413123,0.7603907134399359,0.6938268836494391,0.6735133232175489,0.6362855727072179,0.13822987106541829,0.25988306942578077,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 0.1, 'min_impurity_decrease': 0.2}
54,0.8303491023461657,0.7050715226969156,0.6894796317670832,0.4971258521181473,0.6405925564610965,0.526234722294799,0.21859520288233825,0.46970740331722827,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 0.5, 'min_impurity_decrease': 0}
55,0.8303491023461657,0.7050715226969156,0.6894796317670832,0.4971258521181473,0.6405925564610965,0.526234722294799,0.21859520288233825,0.46970740331722827,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 0.5, 'min_impurity_decrease': 0.1}
56,0.8303491023461657,0.7050715226969156,0.6894796317670832,0.4971258521181473,0.6405925564610965,0.526234722294799,0.21859520288233825,0.46970740331722827,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 0.5, 'min_impurity_decrease': 0.2}
57,0.8548432727980488,0.692646592095022,0.7307570210480794,0.47975930154084784,0.6438413641654273,0.5102935876642417,0.17181448810763467,0.4882325980175637,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0}
58,0.8572662430013376,0.692646592095022,0.7349054113896284,0.47975930154084784,0.6450080992602613,0.5102935876642417,0.16711301185822736,0.4882325980175637,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}
59,0.8539581345264096,0.692646592095022,0.7292444955238254,0.47975930154084784,0.6420404364655632,0.5102935876642417,0.1735286717411465,0.4882325980175637,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}
60,0.9189537139629721,0.879538181420605,0.84447592840634,0.7735874125766651,0.7048962893051259,0.6694663507437923,0.04293395902662145,0.17480115743630364,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 50, 'learning_rate': 0.01, 'min_impurity_decrease': 0}
61,0.9333132936645374,0.8771929274685849,0.871073704130947,0.7694674320009061,0.7130324699178591,0.6674864726061405,0.01279002353341363,0.1791960107485845,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 50, 'learning_rate': 0.01, 'min_impurity_decrease': 0.1}
62,0.9271474795383671,0.8804833137613284,0.8596024488143469,0.7752508658121298,0.7108094577582315,0.6703832090030487,0.025790688847310617,0.17302672359437732,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 50, 'learning_rate': 0.01, 'min_impurity_decrease': 0.2}
63,0.8106327500598776,0.7040441972754572,0.6571254554696399,0.4956782317172429,0.6169974805497626,0.5252140360933013,0.2552630135047024,0.47125160460576654,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 50, 'learning_rate': 0.1, 'min_impurity_decrease': 0}
