,model,hyperparams,mse,rmse,mae,r2
86,MLPRegressor,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 200}",0.8847630262651102,0.940618427559821,0.7180639636935877,0.05242096658306761
200,SVR,"{'C': 0.01, 'kernel': 'poly', 'epsilon': 1, 'gamma': 0.05, 'degree': 3}",0.8847197040537884,0.9405953986990306,0.7266879556316402,0.052467364565251584
282,SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 'scale', 'degree': 3}",0.8829915741443659,0.9396763134954322,0.7018105683344114,0.054318187464239776
105,MLPRegressor,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 500}",0.8811066726641578,0.9386728251441808,0.7091034962347121,0.056336912331441114
249,SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale', 'degree': 3}",0.8804229252341953,0.9383085447944057,0.7103813065135999,0.05706920415371608
252,SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",0.8799344644080623,0.938048220726452,0.7374969164811366,0.057592344501751436
124,MLPRegressor,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 1000}",0.8782650633224297,0.9371579713807218,0.7202970240331403,0.059380268974349115
151,GradientBoostingRegressor,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 7}",0.8780969179024795,0.937068256800154,0.7080875317415127,0.059560352307151176
283,SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 0.1, 'degree': 3}",0.8762042552429647,0.9360578268691335,0.704492851302075,0.06158738937837471
121,MLPRegressor,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 1000}",0.8761197525236863,0.9360126882279355,0.7104085986274027,0.061677891583686084
355,SVR,"{'C': 1000, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 0.1, 'degree': 3}",0.8756313330419017,0.9357517475494778,0.7036311804641773,0.06220098765202564
319,SVR,"{'C': 100, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 0.1, 'degree': 3}",0.8756313330419017,0.9357517475494778,0.7036311804641773,0.06220098765202564
163,GradientBoostingRegressor,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7}",0.873357518520055,0.9345359910244522,0.7054846526765959,0.06463623743396574
234,SVR,"{'C': 0.1, 'kernel': 'poly', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",0.8732211456222095,0.9344630252836168,0.728861539786668,0.06478229247343803
102,MLPRegressor,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 500}",0.8720633576157338,0.933843326054073,0.7132075476651564,0.06602228059173576
360,SVR,"{'C': 1000, 'kernel': 'rbf', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",0.8716769213970104,0.9336363967825003,0.7329968758200079,0.06643615283520088
288,SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",0.8716769213970104,0.9336363967825003,0.7329968758200079,0.06643615283520088
324,SVR,"{'C': 100, 'kernel': 'rbf', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",0.8716769213970104,0.9336363967825003,0.7329968758200079,0.06643615283520088
286,SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 0.1, 'degree': 3}",0.8712965959591742,0.9334326949272638,0.700445872538892,0.06684348044730737
88,MLPRegressor,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 1000}",0.8708401329625266,0.9331881551769324,0.7112969173912141,0.06733235119836012
358,SVR,"{'C': 1000, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 0.1, 'degree': 3}",0.8702596026992034,0.9328770565831295,0.6990748235895173,0.0679540976880515
322,SVR,"{'C': 100, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 0.1, 'degree': 3}",0.8702596026992034,0.9328770565831295,0.6990748235895173,0.0679540976880515
89,MLPRegressor,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 200}",0.8693855716819092,0.9324084789843501,0.7108748578975342,0.06889018276615455
100,MLPRegressor,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 1000}",0.868943835694311,0.932171569880948,0.6932810490287845,0.06936328092659727
284,SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 0.05, 'degree': 3}",0.8686535723340228,0.932015864851035,0.7082512441326616,0.0696741522743064
106,MLPRegressor,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 1000}",0.8681045910523062,0.9317213054622644,0.7125801798006292,0.07026210988199377
112,MLPRegressor,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 1000}",0.8675577652303404,0.9314278099940652,0.6896175674182954,0.0708477589975689
