model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2,split,preprocessing
RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.4436837326046123,0.2470795415619281,0.6660958884459597,0.4970709623000806,0.5239061468433355,0.38192159199668596,0.5082265193549327,0.7323376642066046,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.44390778476085374,0.16489547089067236,0.6662640503290371,0.4060732334083008,0.5192052094355258,0.3181854892839081,0.5079781827569825,0.8213680233444708,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.44396395167187414,0.09146074600625302,0.6663061996348781,0.302424777434411,0.5118735382857252,0.22098589706450816,0.5079159280577457,0.9009201783576066,0.9,Fingerprints
SVR,"{'C': 1, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.05}",0.44419084470141273,0.020774271456875108,0.6664764397196744,0.14413282574373926,0.5055832243961399,0.035488355514424454,0.507664442671488,0.9774951418988302,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.44484896875414004,0.23126569498744848,0.6669699908947478,0.48090092013578895,0.5237435835788611,0.36456067777265005,0.5069349862314108,0.749468872582846,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.44500906818791464,0.19288769215688625,0.6670900000658941,0.4391898133573754,0.5182423643133427,0.3470285670401245,0.5067575340283866,0.7910439290030441,0.9,Fingerprints
SVR,"{'C': 1000, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.44509112225282743,0.025606115120801735,0.6671514987263594,0.16001910861144594,0.5178193156828034,0.10930368501384388,0.5066665863326792,0.9722607847638792,0.9,Fingerprints
SVR,"{'C': 100, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.44509749421283873,0.025607695221624354,0.6671562742063052,0.16002404576070545,0.5178110261740297,0.10930729241790064,0.5066595237321758,0.9722590730338254,0.9,Fingerprints
SVR,"{'C': 0.1, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.1}",0.44553301497123676,0.0222075729370845,0.6674825952571624,0.14902205520353187,0.5043060338996374,0.036331144447415066,0.5061767979896896,0.9759424402074488,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.4456126506842651,0.19063218652987057,0.6675422463666738,0.43661445982682545,0.5217961269930644,0.337870820990482,0.5060885307648588,0.7934873280020294,0.9,Fingerprints
SVR,"{'C': 10, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 'scale'}",0.44641952866427137,0.026286800683470356,0.6681463377616249,0.1621320470587797,0.5019739788057813,0.039445160519383,0.5051941973387624,0.9715233951504253,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.4468062035854233,0.17120084875751138,0.668435639074865,0.41376424296634357,0.5191990380767267,0.3095706006978084,0.5047656117092267,0.81453738023566,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.4472130677173295,0.07167407430131108,0.6687399103667505,0.26772014175498837,0.5157542183372962,0.19365715884219586,0.5043146486118814,0.9223551653769363,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.44799795025916467,0.2550857737390602,0.6693264900324539,0.505060168434475,0.527013190908494,0.38852890760051184,0.5034446946533939,0.7236644782686328,0.9,Fingerprints
