,Unnamed: 0.1,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1
67,,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 200, 'solver': 'adam'}",0.8199264194093666,0.8870011267271541,0.8118811881188119,0.87651598676957,0.7383177570093458,0.7933884297520661,0.8876404494382022,0.9696969696969696,0.8061224489795918,0.8727272727272728
68,,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.819909847204269,0.8683434145762913,0.8234323432343235,0.8699007717750827,0.8053435114503816,0.8475,0.7902621722846442,0.8560606060606061,0.7977315689981096,0.8517587939698493
69,,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8197441251532929,0.9525588566684458,0.8201320132013201,0.9503858875413452,0.7841726618705036,0.920863309352518,0.8164794007490637,0.9696969696969696,0.7999999999999999,0.9446494464944648
70,,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8196281197176096,0.9777471387060428,0.8217821782178217,0.9768467475192943,0.7955390334572491,0.9629629629629628,0.8014981273408239,0.9848484848484848,0.7985074626865672,0.9737827715355806
71,,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8196281197176096,0.9803984067682698,0.8217821782178217,0.980154355016538,0.7955390334572491,0.9725,0.8014981273408239,0.9823232323232324,0.7985074626865672,0.9773869346733668
72,,SVC,"{'C': 1000, 'kernel': 'rbf', 'gamma': 0.1}",0.8195121142819264,0.9951076320939336,0.8234323432343235,0.9944873208379272,0.8076923076923077,0.9875311720698254,0.7865168539325843,1.0,0.7969639468690703,0.9937264742785444
73,,SVC,"{'C': 100, 'kernel': 'rbf', 'gamma': 0.1}",0.8195121142819264,0.9951076320939336,0.8234323432343235,0.9944873208379272,0.8076923076923077,0.9875311720698254,0.7865168539325843,1.0,0.7969639468690703,0.9937264742785444
74,,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.8193463922309503,0.9913197533060548,0.8201320132013201,0.9911797133406836,0.7862318840579711,0.9874371859296482,0.8127340823970037,0.9924242424242424,0.7992633517495396,0.9899244332493704
75,,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 10}",0.8193463922309503,0.9560304611674476,0.8201320132013201,0.955898566703418,0.7862318840579711,0.9427860696517412,0.8127340823970037,0.9570707070707072,0.7992633517495396,0.949874686716792
76,,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8192303867952669,0.992866532250094,0.8217821782178217,0.9922822491730982,0.797752808988764,0.9850374064837906,0.797752808988764,0.9974747474747476,0.797752808988764,0.9912170639899625
