,Model,MAE,RMSE,MSE,R2
69," MLPRegressor-(50,)-tanh-0.001-1000", 1.5867528098794343, 1.927748224802576, 3.7162132182294827, -1.0388609927696408
70," MLPRegressor-(50,)-tanh-0.01-200", 1.4625519109991172, 1.7559325904308303, 3.083299262137126, -0.691619459230556
71," MLPRegressor-(50,)-tanh-0.01-500", 1.1820903445552806, 1.4632149640076624, 2.1409980308959446, -0.17463587648236856
72," MLPRegressor-(50,)-tanh-0.01-1000", 1.4021738280107279, 1.7931902679757237, 3.215531337162848, -0.7641671856205343
73," MLPRegressor-(100,)-relu-0.0001-200", 39338.53689985267, 342447.67722035287, 117270411633.61497, -64339168352.67436
74," MLPRegressor-(100,)-relu-0.0001-500", 115329.24201066111, 998923.4543390477, 997848067628.6554, -547458765771.3023
75," MLPRegressor-(100,)-relu-0.0001-1000", 2917.7289862288267, 12833.114628257941, 164688831.06200793, -90354780.56905428
76," MLPRegressor-(100,)-relu-0.001-200", 1611.978871491826, 9028.13720222341, 81507261.34217034, -44718094.01210648
77," MLPRegressor-(100,)-relu-0.001-500", 22996.5075610308, 201582.5769487132, 40635535329.283875, -22294255747.506783
78," MLPRegressor-(100,)-relu-0.001-1000", 1037.2113259220732, 3121.675339999706, 9744856.92836228, -5346411.464682193
79," MLPRegressor-(100,)-relu-0.01-200", 1972.525760315971, 10658.643114618886, 113606673.04481257, -62329096.010143384
80," MLPRegressor-(100,)-relu-0.01-500", 872.8282129672206, 2648.4880729309666, 7014489.0724575855, -3848424.0806406564
81," MLPRegressor-(100,)-relu-0.01-1000", 2355.197842069693, 6590.253579510336, 43431442.242248796, -23828199.441533584
82," MLPRegressor-(100,)-tanh-0.0001-200", 1.1623120135991791, 1.4228761859449872, 2.0245766405293537, -0.11076251464778086
83," MLPRegressor-(100,)-tanh-0.0001-500", 1.2788937939818321, 1.601096690186304, 2.5635106113255377, -0.406442925380053
84," MLPRegressor-(100,)-tanh-0.0001-1000", 1.2312661490485848, 1.592197091700608, 2.5350915788198742, -0.3908511244188435
85," MLPRegressor-(100,)-tanh-0.001-200", 1.2067717156748767, 1.4397387832164885, 2.0728477638976948, -0.1372459548417131
86," MLPRegressor-(100,)-tanh-0.001-500", 1.13920625142671, 1.4052730596958445, 1.9747923723069205, -0.08344890356798951
87," MLPRegressor-(100,)-tanh-0.001-1000", 1.1228058479721517, 1.4118399444405256, 1.9932920287178264, -0.09359854397366196
88," MLPRegressor-(100,)-tanh-0.01-200", 1.1730978062631892, 1.497750873271413, 2.2432576783852802, -0.23073954819249543
89," MLPRegressor-(100,)-tanh-0.01-500", 1.1489399631588981, 1.4251803759166368, 2.0311391038978863, -0.11436294061713759
90," MLPRegressor-(100,)-tanh-0.01-1000", 1.1678487682637764, 1.4537541361810644, 2.113401088463553, -0.15949510652624665
91," MLPRegressor-(50, 50)-relu-0.0001-200", 24224.115019075824, 209630.65654114718, 43945012161.87241, -24109965133.43226
92," MLPRegressor-(50, 50)-relu-0.0001-500", 940.2970421733913, 2910.0715514033536, 8468516.434287122, -4646160.780976273
93," MLPRegressor-(50, 50)-relu-0.0001-1000", 1493.3873947329396, 9051.395874725125, 81927767.28099103, -44948800.138354525
94," MLPRegressor-(50, 50)-relu-0.001-200", 190197.19590168423, 1647360.9654324157, 2713798150430.4204, -1488896590760.0378
95," MLPRegressor-(50, 50)-relu-0.001-500", 7782.218316887552, 62359.08255789886, 3888655177.462846, -2133469444.931858
96," MLPRegressor-(50, 50)-relu-0.001-1000", 637.9370001275528, 3859.803559820015, 14898083.52039926, -8173674.613596223
97," MLPRegressor-(50, 50)-relu-0.01-200", 1469.378451470466, 12266.666692935256, 150471111.75556716, -82554379.57003394
98," MLPRegressor-(50, 50)-relu-0.01-500", 57644.00262524516, 502879.75152538746, 252888044494.23544, -138744345164.08698
99," MLPRegressor-(50, 50)-relu-0.01-1000", 3074.276642862534, 24466.229072693935, 598596365.0375339, -328413549.95071393
100," MLPRegressor-(50, 50)-tanh-0.0001-200", 1.1306526687771907, 1.38008009792725, 1.904621076694888, -0.04495016599995405
101," MLPRegressor-(50, 50)-tanh-0.0001-500", 1.0632868050311985, 1.326271204787051, 1.758995308647296, 0.0349458681021505
102," MLPRegressor-(50, 50)-tanh-0.0001-1000", 1.0900704744672551, 1.3566534189260309, 1.8405084990836886, -0.009775479844656543
103," MLPRegressor-(50, 50)-tanh-0.001-200", 1.1337958875922562, 1.3547740489526576, 1.835412723715578, -0.006979736700804429
104," MLPRegressor-(50, 50)-tanh-0.001-500", 1.1158215749315559, 1.3703406487768468, 1.8778334936901495, -0.030253442515137285
105," MLPRegressor-(50, 50)-tanh-0.001-1000", 1.138989842588994, 1.4229144640870575, 2.024685572108158, -0.11082227880388906
106," MLPRegressor-(50, 50)-tanh-0.01-200", 1.0948057205635553, 1.3467592486601005, 1.8137604738515187, 0.00489954068752696
107," MLPRegressor-(50, 50)-tanh-0.01-500", 1.1552581972393217, 1.450994089050342, 2.105383846459032, -0.1550965316779498
108," MLPRegressor-(50, 50)-tanh-0.01-1000", 1.1189494840775103, 1.3863588525993322, 1.9219908681805369, -0.05447991799020846
109, GradientBoostingRegressor-10-0.1, 0.8176659293927454, 0.9709094564524583, 0.942665172628808, 0.48281674466703006
110, GradientBoostingRegressor-10-0.5, 0.6278618431316895, 0.8042145833916972, 0.6467610961398811, 0.6451613798444034
111, GradientBoostingRegressor-10-1.0, 0.7196618134581271, 1.000737330138857, 1.0014752039334476, 0.4505512443393288
112, GradientBoostingRegressor-10-2.0, 1.1980511872393251, 1.495003245070769, 2.23503470277213, -0.22622809978046488
113, GradientBoostingRegressor-100-0.1, 0.5564439928337402, 0.7079863606433928, 0.5012446868570762, 0.7249974154193384
114, GradientBoostingRegressor-100-0.5, 0.5756538865588382, 0.7801532394815174, 0.6086390770735058, 0.6660766215368819
115, GradientBoostingRegressor-100-1.0, 0.7732026786100953, 1.0687231345615573, 1.1421691383470807, 0.37336100848630815
116, GradientBoostingRegressor-100-2.0, 1.198051187239326, 1.4950032450707698, 2.2350347027721322, -0.22622809978046599
117, GradientBoostingRegressor-200-0.1, 0.5323394189591705, 0.7045244259219446, 0.49635466672064565, 0.7276802731361989
118, GradientBoostingRegressor-200-0.5, 0.5811582072462061, 0.8027770722614953, 0.644451027748738, 0.6464287743820007
119, GradientBoostingRegressor-200-1.0, 0.7975477167616893, 1.1028852006890781, 1.216355765898988, 0.332659301609334
120, GradientBoostingRegressor-200-2.0, 1.1980511872393258, 1.4950032450707695, 2.2350347027721313, -0.22622809978046554
121, SVR-0.01-2-0.01, 1.0907023105037166, 1.3560823655565164, 1.8389593821733576, -0.008925573271422182
122, SVR-0.01-2-0.1, 1.091065491004008, 1.355717174940726, 1.8379690584292632, -0.008382242646003846
123, SVR-0.01-2-1, 1.108599073641653, 1.3506207385927447, 1.8241763795168113, -0.000815035553997534
124, SVR-0.01-3-0.01, 1.0907023126362516, 1.356082363378806, 1.838959376267048, -0.008925570030987817
125, SVR-0.01-3-0.1, 1.091065492866425, 1.3557171730971547, 1.8379690534305404, -0.008382239903507616
126, SVR-0.01-3-1, 1.108599075836562, 1.3506207390687828, 1.824176380802705, -0.0008150362594894212
127, SVR-0.01-4-0.01, 1.0907023078089704, 1.3560823683083492, 1.8389593896367809, -0.008925577366150073
128, SVR-0.01-4-0.1, 1.0910654881488115, 1.3557171777670316, 1.837969066092605, -0.00838224685041511
129, SVR-0.01-4-1, 1.108599070868458, 1.3506207379912867, 1.824176377892128, -0.0008150346626323302
130, SVR-0.1-2-0.01, 1.0907023105000895, 1.3560823655602205, 1.8389593821834036, -0.008925573276933774
131, SVR-0.1-2-0.1, 1.0910654910015898, 1.3557171749431194, 1.8379690584357529, -0.008382242649564553
132, SVR-0.1-2-1, 1.1085990736365556, 1.3506207385916391, 1.8241763795138248, -0.0008150355523590669
133, SVR-0.1-3-0.01, 1.0907023126397093, 1.356082363375275, 1.8389593762574716, -0.00892557002573402
134, SVR-0.1-3-0.1, 1.0910654928698824, 1.3557171730937319, 1.8379690534212598, -0.008382239898416133
135, SVR-0.1-3-1, 1.10859907584149, 1.3506207390698515, 1.824176380805592, -0.0008150362610732653
136, SVR-0.1-4-0.01, 1.0907023078052072, 1.356082368312192, 1.8389593896472036, -0.00892557737186861
137, SVR-0.1-4-0.1, 1.0910654881450483, 1.3557171777707568, 1.8379690661027057, -0.008382246855956899
138, SVR-0.1-4-1, 1.1085990708630837, 1.3506207379901212, 1.8241763778889797, -0.0008150346609048231
139, SVR-1-2-0.01, 1.0907023104638178, 1.3560823655972607, 1.8389593822838628, -0.008925573332049686
140, SVR-1-2-0.1, 1.0910654909774087, 1.355717174967056, 1.8379690585006554, -0.008382242685172514
141, SVR-1-2-1, 1.1085990735855813, 1.3506207385805837, 1.8241763794839614, -0.0008150355359748396
142, SVR-1-3-0.01, 1.0907023126742847, 1.3560823633399672, 1.8389593761617107, -0.008925569973195824
143, SVR-1-3-0.1, 1.091065492904458, 1.3557171730595063, 1.8379690533284596, -0.008382239847502193
144, SVR-1-3-1, 1.1085990758907707, 1.3506207390805396, 1.8241763808344629, -0.0008150362769130393
145, SVR-1-4-0.01, 1.0907023077675746, 1.3560823683506216, 1.838959389751431, -0.008925577429051756
146, SVR-1-4-0.1, 1.091065488107416, 1.3557171778080082, 1.8379690662037105, -0.008382246911372127
147, SVR-1-4-1, 1.1085990708093398, 1.350620737978465, 1.8241763778574933, -0.000815034643630197
148, SVR-10-2-0.01, 1.0907023101011, 1.3560823659676624, 1.8389593832884532, -0.008925573883207472
149, SVR-10-2-0.1, 1.091065490735597, 1.355717175206421, 1.8379690591496778, -0.008382243041251902
150, SVR-10-2-1, 1.1085990730758373, 1.3506207384700288, 1.8241763791853263, -0.0008150353721319004
151, SVR-10-3-0.01, 1.0907023130200406, 1.3560823629868868, 1.8389593752040987, -0.008925569447812087
152, SVR-10-3-0.1, 1.0910654932502137, 1.3557171727172495, 1.8379690524004524, -0.008382239338360797
153, SVR-10-3-1, 1.1085990763835756, 1.3506207391874205, 1.8241763811231742, -0.0008150364353114448
154, SVR-10-4-0.01, 1.0907023073912507, 1.3560823687349177, 1.8389593907937056, -0.008925578000884782
155, SVR-10-4-0.1, 1.0910654877310921, 1.3557171781805244, 1.8379690672137639, -0.008382247465527293
156, SVR-10-4-1, 1.1085990702718997, 1.3506207378619037, 1.8241763775426332, -0.0008150344708854895
157, SVR-100-2-0.01, 1.090702307786316, 1.3560823683314833, 1.8389593896995247, -0.00892557740057387
158, SVR-100-2-0.1, 1.0910654891924074, 1.3557171767339953, 1.8379690632915953, -0.008382245313671044
159, SVR-100-2-1, 1.108599069853243, 1.3506207377711044, 1.8241763772973623, -0.0008150343363202417
160, SVR-100-3-0.01, 1.0907023136762868, 1.3560823623167388, 1.8389593733865472, -0.008925568450631749
161, SVR-100-3-0.1, 1.0910654939064584, 1.3557171720676453, 1.8379690506390935, -0.00838223837201002
162, SVR-100-3-1, 1.108599077309756, 1.350620739388293, 1.8241763816657794, -0.0008150367330059805
163, SVR-100-4-0.01, 1.0907023101405162, 1.356082365927411, 1.838959383179285, -0.008925573823313604
164, SVR-100-4-0.1, 1.0910654904803574, 1.3557171754590778, 1.8379690598347398, -0.008382243417103918
165, SVR-100-4-1, 1.10859907420108, 1.3506207387140747, 1.824176379844553, -0.0008150357338094771
166, SVR-1000-2-0.01, 1.0907022715145396, 1.3560824053717102, 1.8389594901587232, -0.0089256325164484
167, SVR-1000-2-0.1, 1.0910654650112235, 1.3557172006705236, 1.837969128193921, -0.008382280921644059
168, SVR-1000-2-1, 1.1085990188788213, 1.3506207267156967, 1.8241763474340364, -0.0008150179521231316
169, SVR-1000-3-0.01, 1.090702348251852, 1.356082327008782, 1.8389592776255532, -0.008925515912377335
170, SVR-1000-3-0.1, 1.0910655284820248, 1.3557171378420028, 1.837968957838512, -0.008382187457954604
171, SVR-1000-3-1, 1.1085991265902762, 1.3506207500764462, 1.824176410537062, -0.0008150525729291314
172, SVR-1000-4-0.01, 1.0907022725081241, 1.3560824043570738, 1.8389594874068624, -0.00892563100666921
173, SVR-1000-4-0.1, 1.0910654528479657, 1.355717212710737, 1.83796916084017, -0.008382298832662727
174, SVR-1000-4-1, 1.1085990204571032, 1.350620727057995, 1.8241763483586673, -0.0008150184594120091
