,Classifier,Accuracy
65,LogisticRegression-0.1-l2-saga,Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
66,LogisticRegression-1-l1-liblinear,Accuracy: 0.5683794466403163 | ROC-AUC: 0.5 | Precision: 0.0 | Recall: 0.0 | F1: 0.0
67,LogisticRegression-1-l1-saga,Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
68,LogisticRegression-1-l2-liblinear,Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
69,LogisticRegression-1-l2-saga,Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
70,LogisticRegression-10-l1-liblinear,Accuracy: 0.5683794466403163 | ROC-AUC: 0.5 | Precision: 0.0 | Recall: 0.0 | F1: 0.0
71,LogisticRegression-10-l1-saga,Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
72,LogisticRegression-10-l2-liblinear,Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
73,LogisticRegression-10-l2-saga,Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
74,LogisticRegression-100-l1-liblinear,Accuracy: 0.5683794466403163 | ROC-AUC: 0.5 | Precision: 0.0 | Recall: 0.0 | F1: 0.0
75,LogisticRegression-100-l1-saga,Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
76,LogisticRegression-100-l2-liblinear,Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
77,LogisticRegression-100-l2-saga,Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
78,"MLPClassifier-(50,)-relu-0.0001-200",Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
79,"MLPClassifier-(50,)-relu-0.0001-500",Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
80,"MLPClassifier-(50,)-relu-0.0001-1000",Accuracy: 0.44189723320158103 | ROC-AUC: 0.5061759056891184 | Precision: 0.43474714518760194 | Recall: 0.9761904761904762 | F1: 0.6015801354401806
81,"MLPClassifier-(50,)-relu-0.001-200",Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
82,"MLPClassifier-(50,)-relu-0.001-500",Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
83,"MLPClassifier-(50,)-relu-0.001-1000",Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
84,"MLPClassifier-(50,)-relu-0.01-200",Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
85,"MLPClassifier-(50,)-relu-0.01-500",Accuracy: 0.44189723320158103 | ROC-AUC: 0.5061759056891184 | Precision: 0.43474714518760194 | Recall: 0.9761904761904762 | F1: 0.6015801354401806
86,"MLPClassifier-(50,)-relu-0.01-1000",Accuracy: 0.44189723320158103 | ROC-AUC: 0.5061759056891184 | Precision: 0.43474714518760194 | Recall: 0.9761904761904762 | F1: 0.6015801354401806
87,"MLPClassifier-(50,)-tanh-0.0001-200",Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
88,"MLPClassifier-(50,)-tanh-0.0001-500",Accuracy: 0.5683794466403163 | ROC-AUC: 0.5 | Precision: 0.0 | Recall: 0.0 | F1: 0.0
89,"MLPClassifier-(50,)-tanh-0.0001-1000",Accuracy: 0.44189723320158103 | ROC-AUC: 0.5061759056891184 | Precision: 0.43474714518760194 | Recall: 0.9761904761904762 | F1: 0.6015801354401806
90,"MLPClassifier-(50,)-tanh-0.001-200",Accuracy: 0.44189723320158103 | ROC-AUC: 0.5061759056891184 | Precision: 0.43474714518760194 | Recall: 0.9761904761904762 | F1: 0.6015801354401806
91,"MLPClassifier-(50,)-tanh-0.001-500",Accuracy: 0.5683794466403163 | ROC-AUC: 0.5 | Precision: 0.0 | Recall: 0.0 | F1: 0.0
92,"MLPClassifier-(50,)-tanh-0.001-1000",Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
93,"MLPClassifier-(50,)-tanh-0.01-200",Accuracy: 0.44189723320158103 | ROC-AUC: 0.5061759056891184 | Precision: 0.43474714518760194 | Recall: 0.9761904761904762 | F1: 0.6015801354401806
94,"MLPClassifier-(50,)-tanh-0.01-500",Accuracy: 0.44189723320158103 | ROC-AUC: 0.5061759056891184 | Precision: 0.43474714518760194 | Recall: 0.9761904761904762 | F1: 0.6015801354401806
95,"MLPClassifier-(50,)-tanh-0.01-1000",Accuracy: 0.44189723320158103 | ROC-AUC: 0.5061759056891184 | Precision: 0.43474714518760194 | Recall: 0.9761904761904762 | F1: 0.6015801354401806
96,"MLPClassifier-(100,)-relu-0.0001-200",Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
97,"MLPClassifier-(100,)-relu-0.0001-500",Accuracy: 0.5683794466403163 | ROC-AUC: 0.5 | Precision: 0.0 | Recall: 0.0 | F1: 0.0
98,"MLPClassifier-(100,)-relu-0.0001-1000",Accuracy: 0.5683794466403163 | ROC-AUC: 0.5 | Precision: 0.0 | Recall: 0.0 | F1: 0.0
99,"MLPClassifier-(100,)-relu-0.001-200",Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
100,"MLPClassifier-(100,)-relu-0.001-500",Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
101,"MLPClassifier-(100,)-relu-0.001-1000",Accuracy: 0.5683794466403163 | ROC-AUC: 0.5 | Precision: 0.0 | Recall: 0.0 | F1: 0.0
102,"MLPClassifier-(100,)-relu-0.01-200",Accuracy: 0.5683794466403163 | ROC-AUC: 0.5 | Precision: 0.0 | Recall: 0.0 | F1: 0.0
103,"MLPClassifier-(100,)-relu-0.01-500",Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
104,"MLPClassifier-(100,)-relu-0.01-1000",Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
105,"MLPClassifier-(100,)-tanh-0.0001-200",Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
106,"MLPClassifier-(100,)-tanh-0.0001-500",Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
107,"MLPClassifier-(100,)-tanh-0.0001-1000",Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
108,"MLPClassifier-(100,)-tanh-0.001-200",Accuracy: 0.5683794466403163 | ROC-AUC: 0.5 | Precision: 0.0 | Recall: 0.0 | F1: 0.0
109,"MLPClassifier-(100,)-tanh-0.001-500",Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
110,"MLPClassifier-(100,)-tanh-0.001-1000",Accuracy: 0.44189723320158103 | ROC-AUC: 0.5061759056891184 | Precision: 0.43474714518760194 | Recall: 0.9761904761904762 | F1: 0.6015801354401806
111,"MLPClassifier-(100,)-tanh-0.01-200",Accuracy: 0.5683794466403163 | ROC-AUC: 0.5 | Precision: 0.0 | Recall: 0.0 | F1: 0.0
112,"MLPClassifier-(100,)-tanh-0.01-500",Accuracy: 0.44189723320158103 | ROC-AUC: 0.5061759056891184 | Precision: 0.43474714518760194 | Recall: 0.9761904761904762 | F1: 0.6015801354401806
113,"MLPClassifier-(100,)-tanh-0.01-1000",Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
114,"MLPClassifier-(50, 50)-relu-0.0001-200",Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
115,"MLPClassifier-(50, 50)-relu-0.0001-500",Accuracy: 0.5683794466403163 | ROC-AUC: 0.5 | Precision: 0.0 | Recall: 0.0 | F1: 0.0
116,"MLPClassifier-(50, 50)-relu-0.0001-1000",Accuracy: 0.44189723320158103 | ROC-AUC: 0.5061759056891184 | Precision: 0.43474714518760194 | Recall: 0.9761904761904762 | F1: 0.6015801354401806
117,"MLPClassifier-(50, 50)-relu-0.001-200",Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
118,"MLPClassifier-(50, 50)-relu-0.001-500",Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
