Unnamed: 0,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1,split,preprocessing
,LogisticRegression,"{'C': 10, 'penalty': 'l2', 'solver': 'saga'}",0.8342689120556002,0.9788023845932229,0.834983498349835,0.9785123966942149,0.7925925925925926,0.9703703703703703,0.8294573643410853,0.9812734082397003,0.8106060606060607,0.9757914338919925,0.8,Fingerprints
,SVC,"{'C': 0.01, 'kernel': 'poly', 'gamma': 0.05}",0.8332665062817429,0.8777480442346475,0.834983498349835,0.8776859504132232,0.7969924812030075,0.8496376811594203,0.8217054263565892,0.8782771535580525,0.8091603053435114,0.8637200736648252,0.8,Descriptors
,GradientBoostingClassifier,"{'max_depth': 5, 'loss': 'exponential', 'n_estimators': 50, 'learning_rate': 0.5, 'min_impurity_decrease': 0.1}",0.8322641005078856,0.9810684130044544,0.834983498349835,0.9801652892561984,0.8015267175572519,0.967032967032967,0.813953488372093,0.9887640449438202,0.8076923076923077,0.9777777777777779,0.8,Fingerprints
,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 1000, 'solver': 'sgd'}",0.8293905372894949,0.9680068922722336,0.8316831683168316,0.9677685950413223,0.7954545454545454,0.9574861367837338,0.813953488372093,0.9700374531835206,0.8045977011494252,0.9637209302325582,0.8,Fingerprints
,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 1000, 'solver': 'sgd'}",0.8293905372894949,0.9680068922722336,0.8316831683168316,0.9677685950413223,0.7954545454545454,0.9574861367837338,0.813953488372093,0.9700374531835206,0.8045977011494252,0.9637209302325582,0.8,Fingerprints
,LogisticRegression,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8293905372894949,0.9626326928617334,0.8316831683168316,0.9619834710743802,0.7954545454545454,0.9468864468864469,0.813953488372093,0.9681647940074907,0.8045977011494252,0.9574074074074075,0.8,Fingerprints
,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'logistic', 'alpha': 0.01, 'max_iter': 200, 'solver': 'adam'}",0.8255145682972468,0.9869855727677681,0.8283828382838284,0.9867768595041322,0.7938931297709924,0.9814126394052045,0.8062015503875969,0.9887640449438202,0.7999999999999999,0.9850746268656717,0.8,Fingerprints
,XGBClassifier,"{'max_depth': 7, 'eta': 0.2, 'gamma': 0}",0.8246458166265704,0.9734281851827227,0.8250825082508251,0.9727272727272728,0.7794117647058824,0.9596330275229358,0.8217054263565892,0.9794007490636704,0.8,0.969416126042632,0.8,Fingerprints
,GradientBoostingClassifier,"{'max_depth': 7, 'loss': 'exponential', 'n_estimators': 100, 'learning_rate': 0.5, 'min_impurity_decrease': 0}",0.8235097567495322,0.990730891119828,0.8283828382838284,0.9900826446280991,0.8031496062992126,0.981549815498155,0.7906976744186046,0.9962546816479401,0.7968749999999999,0.9888475836431226,0.8,Fingerprints
,LogisticRegression,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}",0.822641005078856,0.9604137579504908,0.8250825082508251,0.959504132231405,0.7878787878787878,0.941712204007286,0.8062015503875969,0.9681647940074907,0.7969348659003832,0.9547553093259464,0.8,Fingerprints
