,Classifier,Accuracy
55,"MLPRegressor-(50,)-relu-0.0001-200",MAE: 23301.05016180827 | RMSE: 347284.2751963697 | MSE: 120606367798.66783 | R2: -74150165061.64252
56,"MLPRegressor-(50,)-relu-0.0001-500",MAE: 7188.81817176718 | RMSE: 75259.32186680932 | MSE: 5663965527.852004 | R2: -3482270350.598983
57,"MLPRegressor-(50,)-relu-0.0001-1000",MAE: 796.935362335827 | RMSE: 3483.229004795329 | MSE: 12132884.299847456 | R2: -7459434.102311157
58,"MLPRegressor-(50,)-relu-0.001-200",MAE: 3548.0612499342383 | RMSE: 56955.30245534393 | MSE: 3243906477.7797065 | R2: -1994390553.7066596
59,"MLPRegressor-(50,)-relu-0.001-500",MAE: 1475.1150180684315 | RMSE: 19909.507109255173 | MSE: 396388473.33348227 | R2: -243704135.54834598
60,"MLPRegressor-(50,)-relu-0.001-1000",MAE: 36838.58612758032 | RMSE: 636597.9917445423 | MSE: 405257003093.18427 | R2: -249156609393.90924
61,"MLPRegressor-(50,)-relu-0.01-200",MAE: 11144.161446080017 | RMSE: 123512.1879266196 | MSE: 15255260566.420599 | R2: -9379107501.532743
62,"MLPRegressor-(50,)-relu-0.01-500",MAE: 15893.988182176736 | RMSE: 211855.5116022593 | MSE: 44882757796.25502 | R2: -27594429379.49972
63,"MLPRegressor-(50,)-relu-0.01-1000",MAE: 1775.3824017481165 | RMSE: 10866.204940277003 | MSE: 118074409.80410035 | R2: -72593487.52345459
64,"MLPRegressor-(50,)-tanh-0.0001-200",MAE: 1.856329105416534 | RMSE: 2.2439955307292623 | MSE: 5.035515941932903 | R2: -2.0958924067193143
65,"MLPRegressor-(50,)-tanh-0.0001-500",MAE: 1.8738054815565994 | RMSE: 2.2497141760658295 | MSE: 5.061213873991554 | R2: -2.1116917872884935
66,"MLPRegressor-(50,)-tanh-0.0001-1000",MAE: 1.2018939069253012 | RMSE: 1.5188045092993523 | MSE: 2.3067671374680465 | R2: -0.41822664197855364
67,"MLPRegressor-(50,)-tanh-0.001-200",MAE: 1.2312114524763018 | RMSE: 1.4875168249701305 | MSE: 2.212706304569218 | R2: -0.3603969733409842
68,"MLPRegressor-(50,)-tanh-0.001-500",MAE: 1.9272715140648604 | RMSE: 2.556504660826394 | MSE: 6.535716080827076 | R2: -3.0182324950279087
69,"MLPRegressor-(50,)-tanh-0.001-1000",MAE: 1.371344716100617 | RMSE: 1.619281477037313 | MSE: 2.622072501876142 | R2: -0.612079962020708
70,"MLPRegressor-(50,)-tanh-0.01-200",MAE: 1.3388572443337836 | RMSE: 1.700025060587986 | MSE: 2.8900852066271856 | R2: -0.7768572176408266
