,Classifier,Accuracy
61,"MLPRegressor-(50,)-relu-0.01-200",MAE: 5044.921043561993 | RMSE: 17652.556318240167 | MSE: 311612744.5686409 | R2: -191583054.41511384
62,"MLPRegressor-(50,)-relu-0.01-500",MAE: 17626.07660537114 | RMSE: 317147.2826797605 | MSE: 100582398911.15588 | R2: -61839201508.73275
63,"MLPRegressor-(50,)-relu-0.01-1000",MAE: 44277.31048101929 | RMSE: 694733.4636247833 | MSE: 482654585480.0881 | R2: -296741522315.08075
64,"MLPRegressor-(50,)-tanh-0.0001-200",MAE: 5.4701352043732 | RMSE: 5.622984728587548 | MSE: 31.61795725792878 | R2: -18.439079315718278
65,"MLPRegressor-(50,)-tanh-0.0001-500",MAE: 2.513457402036078 | RMSE: 3.085348940748671 | MSE: 9.519378086178946 | R2: -4.8526217915972065
66,"MLPRegressor-(50,)-tanh-0.0001-1000",MAE: 2.930390554040369 | RMSE: 3.4033157014765965 | MSE: 11.582557763917137 | R2: -6.121088096075916
67,"MLPRegressor-(50,)-tanh-0.001-200",MAE: 3.6302689755497295 | RMSE: 4.009816589753621 | MSE: 16.078629083463355 | R2: -8.88532382062982
68,"MLPRegressor-(50,)-tanh-0.001-500",MAE: 4.918004360858832 | RMSE: 5.1020556580001415 | MSE: 26.030971937331255 | R2: -15.004137270067492
69,"MLPRegressor-(50,)-tanh-0.001-1000",MAE: 1.4182181226339192 | RMSE: 2.4596307784745166 | MSE: 6.0497835664191575 | R2: -2.719475664768321
70,"MLPRegressor-(50,)-tanh-0.01-200",MAE: 1.6477510214563649 | RMSE: 2.537695774373615 | MSE: 6.439899843273701 | R2: -2.9593235836665754
71,"MLPRegressor-(50,)-tanh-0.01-500",MAE: 1.5045457729268519 | RMSE: 2.4672616952316853 | MSE: 6.087380272757529 | R2: -2.742590546939847
72,"MLPRegressor-(50,)-tanh-0.01-1000",MAE: 2.647206358937495 | RMSE: 3.1910479009747497 | MSE: 10.182786706315355 | R2: -5.260492947863285
73,"MLPRegressor-(100,)-relu-0.0001-200",MAE: 95122.05697192215 | RMSE: 1456646.1577467453 | MSE: 2121818028878.3557 | R2: -1304517828915.482
74,"MLPRegressor-(100,)-relu-0.0001-500",MAE: 2626.3263853595454 | RMSE: 47349.81920098289 | MSE: 2242005378.365768 | R2: -1378410375.7611368
75,"MLPRegressor-(100,)-relu-0.0001-1000",MAE: 283617.18070865393 | RMSE: 4158393.159992728 | MSE: 17292233673074.305 | R2: -10631461709389.834
76,"MLPRegressor-(100,)-relu-0.001-200",MAE: 9782.058795429684 | RMSE: 170276.51110492687 | MSE: 28994090234.066284 | R2: -17825896060.193825
77,"MLPRegressor-(100,)-relu-0.001-500",MAE: 87983.67643436295 | RMSE: 778903.3754339622 | MSE: 606690468262.4198 | R2: -373000192150.43964
78,"MLPRegressor-(100,)-relu-0.001-1000",MAE: 6.6086459851355235 | RMSE: 22.818518376169003 | MSE: 520.6847808835624 | R2: -319.1229184894536
