,Model,MAE,RMSE,MSE,R2
135, SVR-0.1-3-1, 1.0562292832766713, 1.2806545780470737, 1.6400761482729287, -0.00833744792606117
136, SVR-0.1-4-0.01, 1.0667781901718734, 1.3482859695669094, 1.8178750557309806, -0.11765023610305247
137, SVR-0.1-4-0.1, 1.0647905286442665, 1.3429057634470456, 1.8033958894992923, -0.10874828021427718
138, SVR-0.1-4-1, 1.0562292833197335, 1.2806545779262606, 1.6400761479634887, -0.008337447735814019
139, SVR-1-2-0.01, 1.0667763261882055, 1.348280835242793, 1.8178612106830037, -0.11764172401027051
140, SVR-1-2-0.1, 1.0647892424668641, 1.3429023436892982, 1.8033867046862098, -0.10874263328685085
141, SVR-1-2-1, 1.0562292437529852, 1.2806546889327493, 1.6400764322854369, -0.008337622540177891
142, SVR-1-3-0.01, 1.0667779887710156, 1.348285414802925, 1.817873559770296, -0.11764931636942877
143, SVR-1-3-0.1, 1.0647905533011106, 1.3429058290066855, 1.8033960655801335, -0.10874838847077872
144, SVR-1-3-1, 1.0562292828852906, 1.2806545791451178, 1.6400761510853588, -0.008337449655175355
145, SVR-1-4-0.01, 1.0667780895135803, 1.3482856923007398, 1.8178743080628852, -0.11764977642821339
146, SVR-1-4-0.1, 1.0647905671231939, 1.3429058657579878, 1.8033961642872107, -0.1087484491570112
147, SVR-1-4-1, 1.0562292833159102, 1.2806545779369873, 1.6400761479909634, -0.00833744775270584
148, SVR-10-2-0.01, 1.0667763297129675, 1.3482808449515524, 1.817861236863272, -0.11764174010619688
149, SVR-10-2-0.1, 1.0647892423352323, 1.342902343339318, 1.8033867037462312, -0.10874263270894136
150, SVR-10-2-1, 1.0562289063318329, 1.280655635631535, 1.6400788570748113, -0.008339113328231784
151, SVR-10-3-0.01, 1.0667779661332821, 1.3482853524468112, 1.8178733916226222, -0.1176492129903286
152, SVR-10-3-0.1, 1.0647905396723991, 1.3429057927695458, 1.8033959682540022, -0.10874832863356754
153, SVR-10-3-1, 1.056229278971485, 1.280654590125562, 1.6400761792096712, -0.008337466946322092
154, SVR-10-4-0.01, 1.0667781262325655, 1.3482857934441868, 1.8178745808034202, -0.11764994411219276
155, SVR-10-4-0.1, 1.0647906441640025, 1.3429060706006533, 1.803396714456087, -0.10874878740708649
156, SVR-10-4-1, 1.0562292841666014, 1.2806545760879975, 1.6400761432551287, -0.008337444841060915
157, SVR-100-2-0.01, 1.0667763466771665, 1.3482808916785205, 1.8178613628654265, -0.1176418175737528
158, SVR-100-2-0.1, 1.064789241846707, 1.3429023420404702, 1.80338670025778, -0.10874263056420164
159, SVR-100-2-1, 1.0562289060407313, 1.2806556364483153, 1.6400788591668392, -0.008339114614434484
160, SVR-100-3-0.01, 1.0667779732144749, 1.348285371952103, 1.8178734442200208, -0.11764924532780685
161, SVR-100-3-0.1, 1.064790532892633, 1.3429057747429483, 1.8033959198379583, -0.10874829886683379
162, SVR-100-3-1, 1.0562292727268556, 1.2806546076453142, 1.6400762240831737, -0.008337494535061163
163, SVR-100-4-0.01, 1.0667781279084827, 1.3482857980605474, 1.8178745932517673, -0.11764995176557802
164, SVR-100-4-0.1, 1.0647905710899865, 1.3429058763052277, 1.8033961926151116, -0.10874846657332649
165, SVR-100-4-1, 1.0562292841628045, 1.2806545760962378, 1.6400761432762347, -0.008337444854037201
166, SVR-1000-2-0.01, 1.0667765077239622, 1.3482813352739194, 1.817862559048023, -0.11764255300040238
167, SVR-1000-2-0.1, 1.064789588884129, 1.3429032647536596, 1.8033891784860374, -0.10874415420708816
168, SVR-1000-2-1, 1.0562289044012825, 1.2806556410483043, 1.6400788709488434, -0.008339121858144338
169, SVR-1000-3-0.01, 1.0667780302370216, 1.3482855290219722, 1.8178738677700594, -0.11764950573118238
170, SVR-1000-3-0.1, 1.0647905522956993, 1.3429058263334115, 1.8033960584002229, -0.10874838405648823
171, SVR-1000-3-1, 1.0562293044613629, 1.2806545320415204, 1.6400760304384856, -0.008337375480107045
172, SVR-1000-4-0.01, 1.0667779141037061, 1.348285209130342, 1.8178730051596503, -0.11764897538850305
173, SVR-1000-4-0.1, 1.0647905184789423, 1.3429057364186565, 1.803395816906134, -0.10874823558317881
174, SVR-1000-4-1, 1.056229284124837, 1.28065457617864, 1.6400761434872921, -0.008337444983797626
