model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
49,0.9578979201078472,0.437856866279244,0.9175684253469397,0.19171863534787972,0.7075395570640529,0.34254555283586235,-0.017021326461378106,0.7923103732994669,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'splitter': 'best', 'criterion': 'friedman_mse'}
50,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'splitter': 'best', 'criterion': 'absolute_error'}
51,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'splitter': 'best', 'criterion': 'poisson'}
52,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'squared_error'}
53,0.9844849256084633,0.437856866279244,0.9692105687503016,0.19171863534787972,0.7251355385756095,0.34254555283586235,-0.07426083006083672,0.7923103732994669,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'friedman_mse'}
54,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'absolute_error'}
55,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'poisson'}
56,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.2, 'splitter': 'best', 'criterion': 'squared_error'}
57,0.9389693761770574,0.4477913289839679,0.8816634893983325,0.20051707431322818,0.6825162577699524,0.35083214690659675,0.022775253909351645,0.7827789863221661,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.2, 'splitter': 'best', 'criterion': 'friedman_mse'}
58,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.2, 'splitter': 'best', 'criterion': 'absolute_error'}
