model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1
48,0.7758711944785536,0.8815586419753086,0.7820343461030383,0.8902116402116402,0.7788461538461539,0.9140893470790378,0.7168141592920354,0.8209876543209876,0.7465437788018434,0.865040650406504,DecisionTreeClassifier,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'criterion': 'gini', 'splitter': 'best'}
49,0.7829670717421067,0.8815586419753086,0.7886393659180978,0.8902116402116402,0.7841269841269841,0.9140893470790378,0.7286135693215339,0.8209876543209876,0.7553516819571865,0.865040650406504,DecisionTreeClassifier,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'criterion': 'gini', 'splitter': 'random'}
50,0.7619581939563309,0.8935185185185186,0.7688243064729194,0.9021164021164021,0.7662337662337663,0.9310344827586207,0.696165191740413,0.8333333333333334,0.7295208655332303,0.8794788273615635,DecisionTreeClassifier,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'criterion': 'entropy', 'splitter': 'best'}
51,0.7869507840397454,0.8962191358024691,0.7899603698811096,0.9021164021164021,0.7694610778443114,0.9111842105263158,0.7581120943952803,0.8549382716049383,0.763744427934621,0.8821656050955414,DecisionTreeClassifier,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'criterion': 'entropy', 'splitter': 'random'}
52,0.7610407757124105,0.8935185185185186,0.7675033025099075,0.9021164021164021,0.7620578778135049,0.9310344827586207,0.6991150442477876,0.8333333333333334,0.7292307692307692,0.8794788273615635,DecisionTreeClassifier,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'criterion': 'log_loss', 'splitter': 'best'}
53,0.7875082920495123,0.8939043209876543,0.7899603698811096,0.8994708994708994,0.7662721893491125,0.9052287581699346,0.7640117994100295,0.8549382716049383,0.7651403249630723,0.8793650793650795,DecisionTreeClassifier,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'criterion': 'log_loss', 'splitter': 'random'}
54,0.5,0.5,0.5521796565389696,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,DecisionTreeClassifier,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.05, 'criterion': 'gini', 'splitter': 'best'}
55,0.5,0.5,0.5521796565389696,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,DecisionTreeClassifier,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.05, 'criterion': 'gini', 'splitter': 'random'}
56,0.7063061918674401,0.7773919753086419,0.7159841479524438,0.791005291005291,0.7123287671232876,0.8007246376811594,0.6135693215339233,0.6820987654320988,0.6592709984152139,0.7366666666666668,DecisionTreeClassifier,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.05, 'criterion': 'entropy', 'splitter': 'best'}
57,0.7063061918674401,0.7773919753086419,0.7159841479524438,0.791005291005291,0.7123287671232876,0.8007246376811594,0.6135693215339233,0.6820987654320988,0.6592709984152139,0.7366666666666668,DecisionTreeClassifier,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.05, 'criterion': 'entropy', 'splitter': 'random'}
58,0.7063061918674401,0.7773919753086419,0.7159841479524438,0.791005291005291,0.7123287671232876,0.8007246376811594,0.6135693215339233,0.6820987654320988,0.6592709984152139,0.7366666666666668,DecisionTreeClassifier,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.05, 'criterion': 'log_loss', 'splitter': 'best'}
59,0.7063061918674401,0.7773919753086419,0.7159841479524438,0.791005291005291,0.7123287671232876,0.8007246376811594,0.6135693215339233,0.6820987654320988,0.6592709984152139,0.7366666666666668,DecisionTreeClassifier,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.05, 'criterion': 'log_loss', 'splitter': 'random'}
60,0.5,0.5,0.5521796565389696,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,DecisionTreeClassifier,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.1, 'criterion': 'gini', 'splitter': 'best'}
61,0.5,0.5,0.5521796565389696,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,DecisionTreeClassifier,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.1, 'criterion': 'gini', 'splitter': 'random'}
62,0.5,0.5,0.5521796565389696,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,DecisionTreeClassifier,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.1, 'criterion': 'entropy', 'splitter': 'best'}
