,model,hyperparams,roc_auc,accuracy,precision,recall,f1
22,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'gini'}",0.6036542530107409,0.6220697541452258,0.5358208955223881,0.5063469675599436,0.5206671501087744
26,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.601700661820549,0.6152086906803887,0.5251396648044693,0.5303244005641748,0.5277192982456141
10,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'gini'}",0.6008360909189541,0.6117781589479703,0.5202702702702703,0.5430183356840621,0.5314009661835749
7,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'gini'}",0.6001613865682977,0.6157804459691252,0.5265423242467718,0.5176304654442877,0.5220483641536272
1,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'gini'}",0.597756184224802,0.616923956546598,0.5293233082706766,0.49647390691114246,0.512372634643377
3,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.5963803298253227,0.6083476272155517,0.5163934426229508,0.5331452750352609,0.5246356696738377
19,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'gini'}",0.5932699088640556,0.6089193825042881,0.5178826895565093,0.5105782792665726,0.5142045454545455
158,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 1000}",0.5844723066073559,0.6443682104059463,0.6484641638225256,0.2679830747531735,0.3792415169660679
88,LogisticRegression,"{'C': 0.01, 'penalty': 'l2', 'solver': 'saga'}",0.5760164641423458,0.6174957118353345,0.5429184549356223,0.35684062059238364,0.4306382978723404
87,LogisticRegression,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear'}",0.5755675653683412,0.6174957118353345,0.5432900432900433,0.3540197461212976,0.4286934244235696
154,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 500}",0.5751769827492675,0.6346483704974271,0.6166666666666667,0.2609308885754584,0.3666997026759167
183,SVC,"{'C': 0.1, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 3}",0.5264145058044917,0.6134934248141796,0.7704918032786885,0.06629055007052186,0.12207792207792206
181,SVC,"{'C': 0.1, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3}",0.5231766030161658,0.6117781589479703,0.8125,0.05500705218617771,0.10303830911492734
84,LogisticRegression,"{'C': 0.001, 'penalty': 'l2', 'solver': 'saga'}",0.5167699631116416,0.5934819897084048,0.49375,0.11142454160789844,0.18181818181818182
83,LogisticRegression,"{'C': 0.001, 'penalty': 'l2', 'solver': 'liblinear'}",0.515549392427037,0.5997712978845054,0.5494505494505495,0.07052186177715092,0.125
180,SVC,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 3}",0.5,0.5946255002858777,0.0,0.0,0.0
182,SVC,"{'C': 0.1, 'kernel': 'rbf', 'gamma': 0.1, 'degree': 3}",0.5,0.5946255002858777,0.0,0.0,0.0
179,SVC,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.1, 'degree': 3}",0.5,0.5946255002858777,0.0,0.0,0.0
90,LogisticRegression,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga'}",0.5,0.5946255002858777,0.0,0.0,0.0
89,LogisticRegression,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.5,0.5946255002858777,0.0,0.0,0.0
81,LogisticRegression,"{'C': 0.001, 'penalty': 'l1', 'solver': 'liblinear'}",0.5,0.5946255002858777,0.0,0.0,0.0
82,LogisticRegression,"{'C': 0.001, 'penalty': 'l1', 'solver': 'saga'}",0.5,0.5946255002858777,0.0,0.0,0.0
85,LogisticRegression,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",0.5,0.5946255002858777,0.0,0.0,0.0
86,LogisticRegression,"{'C': 0.01, 'penalty': 'l1', 'solver': 'saga'}",0.5,0.5946255002858777,0.0,0.0,0.0
178,SVC,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3}",0.5,0.5946255002858777,0.0,0.0,0.0
