,model,hyperparams,mse,rmse,mae,r2
178,SVR,"{'C': 0.01, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 0.1, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
177,SVR,"{'C': 0.01, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale', 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
176,SVR,"{'C': 0.01, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 0.05, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
382,SVR,"{'C': 1000, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
209,SVR,"{'C': 0.01, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
349,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
313,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
314,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
316,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
317,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
346,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
347,SVR,"{'C': 100, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
