,Unnamed: 0.1,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1
61,45.0,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.8005038743278147,0.984567901234568,0.8018494055482166,0.984126984126984,0.7739130434782608,0.975609756097561,0.7876106194690266,0.9876543209876544,0.7807017543859648,0.9815950920245398
62,46.0,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'logistic', 'alpha': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.8002604056400051,0.9097222222222222,0.797886393659181,0.9047619047619048,0.75,0.85,0.8230088495575221,0.9444444444444444,0.7848101265822786,0.8947368421052632
63,47.0,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8002251203229312,0.9718364197530864,0.8018494055482166,0.9708994708994708,0.7755102040816326,0.9548192771084336,0.7846607669616519,0.9783950617283952,0.7800586510263928,0.9664634146341464
64,48.0,XGBClassifier,"{'max_depth': 5, 'eta': 0.1, 'gamma': 0}",0.8002251203229312,0.9976851851851852,0.8018494055482166,0.9973544973544972,0.7755102040816326,0.9938650306748468,0.7846607669616519,1.0,0.7800586510263928,0.9969230769230768
66,50.0,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8002251203229312,0.9976851851851852,0.8018494055482166,0.9973544973544972,0.7755102040816326,0.9938650306748468,0.7846607669616519,1.0,0.7800586510263928,0.9969230769230768
67,49.0,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.8002251203229312,0.9695216049382716,0.8018494055482166,0.9682539682539684,0.7755102040816326,0.9491017964071856,0.7846607669616519,0.9783950617283952,0.7800586510263928,0.9635258358662614
70,51.0,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 1000, 'solver': 'sgd'}",0.8000275225473176,0.875,0.8031704095112285,0.8756613756613757,0.786144578313253,0.844311377245509,0.7699115044247787,0.8703703703703703,0.7779433681073025,0.8571428571428571
71,52.0,XGBClassifier,"{'max_depth': 5, 'eta': 0.2, 'gamma': 0}",0.7999463663180477,0.9972993827160492,0.8018494055482166,0.9973544973544972,0.7771260997067448,0.9969135802469136,0.7817109144542773,0.9969135802469136,0.7794117647058825,0.9969135802469136
73,53.0,XGBClassifier,"{'max_depth': None, 'eta': 0.2, 'gamma': 0.01}",0.7998652100887779,0.9972993827160492,0.8005284015852048,0.9973544973544972,0.7685714285714286,0.9969135802469136,0.7935103244837758,0.9969135802469136,0.7808417997097241,0.9969135802469136
74,54.0,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.7998652100887779,0.9675925925925926,0.8005284015852048,0.9656084656084656,0.7685714285714286,0.940828402366864,0.7935103244837758,0.9814814814814816,0.7808417997097241,0.9607250755287008
76,55.0,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.7996676123131643,0.9837962962962964,0.8018494055482166,0.984126984126984,0.7787610619469026,0.9814814814814816,0.7787610619469026,0.9814814814814816,0.7787610619469025,0.9814814814814816
77,56.0,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 1000, 'solver': 'adam'}",0.7996323269960904,0.8695987654320988,0.8058124174372523,0.8756613756613757,0.8096774193548387,0.8758169934640523,0.7404129793510325,0.8271604938271605,0.773497688751926,0.8507936507936508
80,57.0,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.7993888583082808,0.996141975308642,0.8018494055482166,0.996031746031746,0.7804154302670623,0.9938461538461538,0.775811209439528,0.9969135802469136,0.7781065088757396,0.99537750385208
81,60.0,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.7993077020790109,0.980324074074074,0.8005284015852048,0.9788359788359788,0.7716763005780347,0.9610778443113772,0.7876106194690266,0.9907407407407408,0.7795620437956204,0.9756838905775076
82,62.0,SVC,"{'C': 100, 'kernel': 'rbf', 'gamma': 0.1}",0.7993077020790109,0.9976851851851852,0.8005284015852048,0.9973544973544972,0.7716763005780347,0.9938650306748468,0.7876106194690266,1.0,0.7795620437956204,0.9969230769230768
83,61.0,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.7993077020790109,0.9718364197530864,0.8005284015852048,0.9708994708994708,0.7716763005780347,0.9548192771084336,0.7876106194690266,0.9783950617283952,0.7795620437956204,0.9664634146341464
84,59.0,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'logistic', 'alpha': 0.0001, 'max_iter': 200, 'solver': 'adam'}",0.7993077020790109,0.8734567901234568,0.8005284015852048,0.873015873015873,0.7716763005780347,0.8352941176470589,0.7876106194690266,0.8765432098765432,0.7795620437956204,0.8554216867469879
85,58.0,SVC,"{'C': 1000, 'kernel': 'rbf', 'gamma': 0.1}",0.7993077020790109,0.9976851851851852,0.8005284015852048,0.9973544973544972,0.7716763005780347,0.9938650306748468,0.7876106194690266,1.0,0.7795620437956204,0.9969230769230768
86,63.0,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'logistic', 'alpha': 0.0001, 'max_iter': 1000, 'solver': 'adam'}",0.799180674937545,0.8614969135802469,0.7939233817701453,0.8544973544973545,0.732824427480916,0.7845744680851063,0.8495575221238938,0.910493827160494,0.7868852459016393,0.8428571428571427
87,64.0,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 500, 'solver': 'adam'}",0.7991453896204711,0.8865740740740741,0.797886393659181,0.8809523809523809,0.7554945054945055,0.819672131147541,0.8112094395280236,0.925925925925926,0.7823613086770982,0.8695652173913043
88,65.0,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.7991101043033972,0.9830246913580248,0.8018494055482166,0.9828042328042328,0.7820895522388059,0.9755351681957186,0.7728613569321534,0.984567901234568,0.7774480712166173,0.9800307219662058
90,66.0,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 200, 'solver': 'adam'}",0.7989019209326615,0.8715277777777778,0.7939233817701453,0.8637566137566137,0.7340153452685422,0.7915567282321899,0.8466076696165191,0.925925925925926,0.7863013698630136,0.8534850640113798
91,67.0,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.7987501940692439,0.9930555555555556,0.8005284015852048,0.9933862433862434,0.7748538011695907,0.9938080495356038,0.7817109144542773,0.9907407407407408,0.7782672540381791,0.9922720247295208
92,68.0,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.7987501940692439,0.9891975308641976,0.8005284015852048,0.988095238095238,0.7748538011695907,0.9758308157099698,0.7817109144542773,0.9969135802469136,0.7782672540381791,0.9862595419847328
94,69.0,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 10}",0.798669037839974,0.9660493827160492,0.7992073976221928,0.966931216931217,0.7663817663817664,0.9628482972136224,0.7935103244837758,0.9598765432098766,0.7797101449275362,0.9613601236476044
96,71.0,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.7984714400643604,0.9965277777777778,0.8005284015852048,0.996031746031746,0.7764705882352941,0.9908256880733946,0.7787610619469026,1.0,0.7776141384388807,0.9953917050691244
98,70.0,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.7984714400643604,0.9826388888888888,0.8005284015852048,0.9828042328042328,0.7764705882352941,0.9784615384615384,0.7787610619469026,0.9814814814814816,0.7776141384388807,0.9799691833590138
99,72.0,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.7983902838350906,0.9733796296296297,0.7992073976221928,0.9708994708994708,0.7679083094555874,0.9441176470588236,0.7905604719764012,0.9907407407407408,0.7790697674418604,0.966867469879518
100,73.0,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'logistic', 'alpha': 0.001, 'max_iter': 200, 'solver': 'adam'}",0.7982279713765508,0.8638117283950617,0.7965653896961691,0.8597883597883598,0.7520435967302452,0.8027777777777778,0.8141592920353983,0.8919753086419753,0.7818696883852693,0.8450292397660818
101,74.0,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.7981926860594769,0.9814814814814816,0.8005284015852048,0.9814814814814816,0.7781065088757396,0.9754601226993864,0.775811209439528,0.9814814814814816,0.7769571639586411,0.9784615384615384
