,model,mse,rmse,mae,r2
44,RandomForestRegressor,0.5733415079757009,0.7571931774492563,0.5752974305252925,0.36044193346272513
45,RandomForestRegressor,0.5215505925605372,0.7221845972883506,0.5416757296077458,0.4182143034487501
46,RandomForestRegressor,0.5742941141495359,0.7578219541221645,0.5708127642726428,0.3593793085624969
47,RandomForestRegressor,0.5598903795358676,0.7482582305166229,0.5736326190223363,0.3754465643468524
48,RandomForestRegressor,0.5377227061302856,0.7332957835214148,0.5664338465940159,0.4001744344655891
49,RandomForestRegressor,0.5964227235802704,0.7722840951232068,0.5914442090788284,0.3346950140088941
50,RandomForestRegressor,0.566654413295144,0.752764513838919,0.5714883167392771,0.3679013364278946
51,RandomForestRegressor,0.5706938209148331,0.7554427979104924,0.5797558327871171,0.3633954081264087
52,RandomForestRegressor,0.5524603626518646,0.743276773921979,0.567436558048409,0.38373469134719806
53,RandomForestRegressor,0.5569280814495391,0.7462761428918514,0.5677616828214685,0.3787509852029116
54,RandomForestRegressor,0.5379578464183724,0.7334560971308183,0.559530711952757,0.3999121372728658
55,RandomForestRegressor,0.5701022584261941,0.755051162787128,0.5719547315747182,0.3640552915574998
56,RandomForestRegressor,0.5534532855123288,0.7439444102299101,0.5610837542380683,0.38262709349142576
57,RandomForestRegressor,0.5670400406713546,0.7530206110534788,0.5787939504201093,0.36747117203947643
58,RandomForestRegressor,0.5312502887940741,0.728869184966736,0.5584110593932411,0.4073943664952535
59,RandomForestRegressor,0.5585233895637935,0.7473442242794103,0.5713729345927956,0.37697143120430776
60,RandomForestRegressor,0.5896787412586414,0.767905424683692,0.5803600777123039,0.34221787470253395
61,RandomForestRegressor,0.5598082111953653,0.7482033220959162,0.5739723971568454,0.37553822250215996
62,RandomForestRegressor,0.5468948744064033,0.7395234103166737,0.5655931501039683,0.38994295091342157
63,RandomForestRegressor,0.5571400222707843,0.7464181283106569,0.5634048321279004,0.37851456683799245
64,RandomForestRegressor,0.5448358718778544,0.7381299830503124,0.5640104597533416,0.392239752484275
65,RandomForestRegressor,0.5437155672941517,0.7373707122568347,0.5710964035529387,0.39348944367795036
66,RandomForestRegressor,0.5424265512970232,0.7364961312166026,0.5563745016208174,0.394927331162793
67,RandomForestRegressor,0.5635152311296832,0.7506765156375169,0.5692848902250451,0.37140307012120244
68,RandomForestRegressor,0.5411343461912332,0.735618342750664,0.5618266532499443,0.3963687760739536
69,RandomForestRegressor,0.5569837273971353,0.7463134243715138,0.5721738786881809,0.3786889125740156
70,RandomForestRegressor,0.5357346988147594,0.7319389993809317,0.5636234431111364,0.4023920414193731
71,RandomForestRegressor,0.5775551111370115,0.7599704672794934,0.5754452941492273,0.35574169136701883
72,RandomForestRegressor,0.5378229193313286,0.7333641110194367,0.5684226279418924,0.40006264740637754
73,RandomForestRegressor,0.5579135314706822,0.746936095975206,0.5711239582979641,0.3776517232422406
74,RandomForestRegressor,0.5455886361698553,0.7386397201409192,0.562433318112974,0.3914000496746002
75,RandomForestRegressor,0.5379747477063154,0.7334676187169515,0.5599871765666644,0.3998932840154469
76,RandomForestRegressor,0.5292745944921171,0.727512607789114,0.5495449126482163,0.4095982383765857
77,RandomForestRegressor,0.554912990342861,0.7449248219403493,0.5700137538892525,0.3809988039185559
78,RandomForestRegressor,0.5290651237540376,0.7273686298941119,0.5535865263544414,0.4098319013826278
79,RandomForestRegressor,0.5550673637499833,0.7450284315044516,0.5654681595603273,0.3808266015637456
80,RandomForestRegressor,0.5457178109850302,0.7387271559818485,0.5589527340222431,0.3912559561563579
81,LinearRegression,7.7857692031790915,2.7902991243196653,1.081996712183933,-7.684965991162313
82,MLPRegressor,0.8033581744751191,0.8963025016561759,0.725933617899613,0.10386010142841895
83,MLPRegressor,0.6906673203617485,0.831063968874688,0.6393998903927666,0.22956588719587123
84,MLPRegressor,0.6300067721590304,0.7937296593671113,0.607608632618466,0.2972322647107287
85,MLPRegressor,0.7005089869217449,0.8369641491257227,0.6402154332090634,0.21858758342916995
86,MLPRegressor,0.6545367903614029,0.8090344803291161,0.6235919357409138,0.2698692170412439
87,MLPRegressor,0.7612927111338288,0.8725208943823802,0.6726200743753508,0.1507838040180638
88,MLPRegressor,0.6665785853134396,0.8164426405531742,0.6341122571795672,0.2564366868824657
89,MLPRegressor,0.6223111846137337,0.7888670259389308,0.5982328670545921,0.3058166337523418
90,MLPRegressor,0.653050240571732,0.8081152396606143,0.6281112879384042,0.27152745196069017
91,MLPRegressor,1.0126118208352184,1.0062861525606017,0.772210122333621,-0.12956074046117894
92,MLPRegressor,0.564013094399563,0.7510080521536124,0.5650292268313923,0.3708477074519122
93,MLPRegressor,0.6114138496682696,0.7819295682273881,0.597833822157409,0.3179725275280031
94,MLPRegressor,0.5999521068952223,0.774565753758338,0.5976022175133987,0.3307580139180595
95,MLPRegressor,0.5562430562148893,0.7458170393701724,0.5725169277198286,0.37951512561226164
96,MLPRegressor,0.5447013157785187,0.7380388308066986,0.5488332862960874,0.3923898487838362
97,MLPRegressor,0.6299155384465813,0.793672185758441,0.6203559745320895,0.29733403521909996
98,MLPRegressor,0.5539227705160565,0.7442598810335382,0.5676275788448563,0.38210338656095677
99,MLPRegressor,0.5666898361302056,0.7527880419681264,0.5640841032078837,0.36786182252634003
100,MLPRegressor,0.645325820970948,0.8033217418761601,0.6218089475684921,0.2801439829396566
101,MLPRegressor,0.6667376364516773,0.8165400397112669,0.636557972607244,0.25625926655437725
102,MLPRegressor,0.679144542763035,0.8241022647481531,0.6446826099952486,0.24241945746708993
103,MLPRegressor,0.6406550856031817,0.8004093237857626,0.6114541886219823,0.2853541525149641
104,MLPRegressor,0.7289949497359424,0.8538120107704871,0.682562030320127,0.18681170980504536
105,MLPRegressor,0.5967992504831273,0.7725278315265589,0.580431068425612,0.3342750011288905
106,MLPRegressor,0.6476922342761502,0.8047932866743797,0.6173117743490756,0.2775042669988962
107,MLPRegressor,0.706711210495448,0.8406611746092763,0.6488217330411608,0.21166905047481488
108,MLPRegressor,0.6102657877351041,0.7811951022216563,0.5906642810892637,0.3192531818326825
109,MLPRegressor,0.6264659427225213,0.7914960156074832,0.6032614967365401,0.3011820328626067
110,MLPRegressor,0.5901893409248911,0.7682378153442403,0.5945150195710696,0.34164830468051643
111,MLPRegressor,0.5586491298397352,0.7474283442844105,0.5550495282510661,0.3768311688883085
112,MLPRegressor,0.6354292621573508,0.7971381700541951,0.60953272950473,0.2911835185953674
113,MLPRegressor,0.5688653634101989,0.7542316377679995,0.5625671476106734,0.36543503848657277
114,MLPRegressor,0.6007829426350789,0.7751018917762225,0.5727899861078956,0.3298312230054865
115,MLPRegressor,0.5810180673853397,0.7622454115213417,0.5827693690949922,0.3518787901608884
116,MLPRegressor,0.6277799677445471,0.7923256702546921,0.6100012652363005,0.2997162480017903
117,MLPRegressor,0.5880348593860507,0.7668343102561666,0.5804973394234364,0.3440516123570111
